Last_Day_of_Week,Xerox,Print_BW,Print_Colour,Colour_Xerox,Files,Binding
2023-01-07,6745,645,132,481,,
2023-01-14,4026,1567,434,294,,
2023-01-21,6825,1017,368,130,,
2023-01-28,4568,2467,421,214,,
2023-02-04,7478,1443,212,404,,
2023-02-11,6321,1288,396,430,,
2023-02-18,4071,3566,170,213,,
2023-02-25,3506,2915,246,109,,
2023-03-04,1732,3990,420,224,,
2023-03-11,3940,1980,365,127,,
2023-03-18,7143,1034,160,188,,
2023-03-25,1805,3078,332,341,189,145
2023-04-01,6407,1153,291,123,,
2023-04-08,3712,1855,219,313,,
2023-04-15,1071,2798,265,219,,
2023-04-22,3928,2437,423,108,,
2023-04-29,1966,3431,287,289,,
2023-05-06,4217,1364,288,203,,
2023-05-13,4279,3996,142,262,,
2023-05-20,5615,1833,455,408,,
2023-05-27,3561,3151,236,491,,
2023-06-03,2313,1740,226,416,,
2023-06-10,2313,3908,307,337,,
2023-06-17,6159,2576,241,482,,
2023-06-24,7322,1548,262,185,,
2023-07-01,4925,1882,396,316,,
2023-07-08,1664,982,444,454,,
2023-07-15,5961,1511,455,411,,
2023-07-22,5151,1173,125,344,,
2023-07-29,2451,1501,311,394,,
2023-08-05,2848,629,496,430,,
2023-08-12,3910,3755,139,273,,
2023-08-19,6072,904,410,318,,
2023-08-26,4536,1220,102,412,,
2023-09-02,5459,2359,245,289,,
2023-09-09,2061,1929,320,105,,
2023-09-16,4635,3406,212,185,,
2023-09-23,1059,3684,287,238,,
2023-09-30,7450,652,103,151,,
2023-10-07,2033,3897,354,215,,
2023-10-14,6353,2081,177,167,,
2023-10-21,2861,1271,414,342,,
2023-10-28,3381,1883,171,303,287,125
2023-11-04,3292,2861,217,454,,
2023-11-11,7107,2225,277,141,,
2023-11-18,1245,3814,169,387,,
2023-11-25,2072,2870,443,441,,
2023-12-02,3427,1692,233,251,,
2023-12-09,1446,3134,459,280,,
2023-12-16,4046,3559,278,279,,
2023-12-23,2815,3459,415,444,,
2023-12-30,5617,2785,165,166,,
