Last_Day_of_Week,Xerox,Print_BW,Files,Binding
07-01-2017,29084,10578,0,0
14-01-2017,17134,15785,0,0
21-01-2017,16283,21509,0,0
28-01-2017,10999,17260,0,0
04-02-2017,27760,13861,0,0
11-02-2017,19788,19228,0,0
18-02-2017,36742,11072,0,0
25-02-2017,17134,16285,0,0
04-03-2017,28240,9224,0,0
11-03-2017,24393,13670,0,0
18-03-2017,13650,18130,0,0
25-03-2017,31683,10650,0,0
01-04-2017,40791,8327,0,0
08-04-2017,38640,7035,0,0
15-04-2017,11755,8155,0,0
22-04-2017,20768,10162,0,0
29-04-2017,32445,10607,0,0
06-05-2017,11515,16489,0,0
13-05-2017,24146,12302,0,0
20-05-2017,21166,7825,0,0
27-05-2017,34173,12116,0,0
03-06-2017,14054,21437,0,0
10-06-2017,40492,5845,0,0
17-06-2017,24699,8278,0,0
24-06-2017,20962,7779,0,0
01-07-2017,24990,14793,0,0
08-07-2017,17936,16316,105,50
15-07-2017,20235,7172,200,70
22-07-2017,23247,10417,0,0
29-07-2017,29554,5721,0,0
05-08-2017,44639,6482,0,0
12-08-2017,13184,15317,50,0
19-08-2017,18176,15939,250,0
26-08-2017,21906,9887,0,0
02-09-2017,28132,15564,0,0
09-09-2017,35286,8448,0,0
16-09-2017,14893,17135,0,0
23-09-2017,13947,21423,20,10
30-09-2017,12511,15120,50,40
07-10-2017,19429,16789,105,0
14-10-2017,33360,8985,0,0
21-10-2017,22241,14814,0,0
28-10-2017,16255,10437,110,95
04-11-2017,19158,8781,300,250
11-11-2017,10552,23192,0,0
18-11-2017,22393,9086,0,0
25-11-2017,45374,6091,0,0
02-12-2017,14991,6207,0,0
09-12-2017,24596,5335,0,0
16-12-2017,22936,8816,0,0
23-12-2017,12267,17153,0,0
30-12-2017,15497,12750,0,0
